Código,Dia,Responsável,Localização área,Número,Sem placa,Nome,Gênero,placa antiga,espécie,n arvore,Altura Geral,Altura da 1a ramificação,Observacao,Largura calçada,Ramificacao U,Ramificacao V,Diâmetro copa,PAP5,PAP4,PAP3,PAP2,PAP,PCOLO,Inclinação (sentido),Canteiro Tipo,Canteiro Largura,Canterio comprimento,Canteiro Diâmetro,Canterio Vege Interferente,Canteiro Protetor tutor,Ângulo de inclinação,Est geral ótimo,Est geral bom,Est geral regular,Est geral péssimo,Est geral morta,Equil geral Desequilibrada,Onde desequilibra,Qual sentido desequilibra,Risco de queda,Corpo de frutificação,Intensidade,Vandalismo,Ecologia Insetos,Ecologia Ninhos,Ecologia Liquens,Ecologia Epífitas,Ecologia Parasitas,Fenologia Folha,Fenologia Flor,Fenologia Fruto,Local geral,Local relativo,Tipo de pavimento,Proximidade de equipamentos,Aflor de raízes Calçada,Aflor de raízes Canteiro,Aflor de raízes Construção,Aflor de raízes Leito carroçável,Aflor de raízes Passagem,int_leve,int_pesado,Particip na paisagem é Isolada,Particip na paisagem é Homogênea,Tipo de fiação Derivação,Tipo de fiação Primária,Tipo de fiação Secundária,Tipo de fiação Telefônia,Tipo de fiação Outra,Tipo de fiação todas,Colo pavimentado,Manilha no canteiro,Planta no canteiro,Contato Fiação,Contato Posteamento,Contato Iluminação,Contato Sinalização,Contato Muro Construção,Contato Outro,Dano,Exec Reparos de danos,Exec Controle,Exec Substituição,Exec Ampliação de canteiro,Exec Poda,Qualidade da Ação,Recomend Poda corretiva,Recomend Poda condução,Recomend Poda levantamento,Recomend Poda limpeza,Recomend Reparos de danos,Recomend Ampliação de canteiro,Outra recomendação1,Outra recomendação2,Outra recomendação3,Baixa das recomendações,Fotografia Geral1,Fotografia Geral2,Fotografia Detalhe1,Fotografia Detalhe2,Ficha do recadastro,Radicular Interferências1,Radicular Interferências2,Radicular Interferências3,Radicular Diagnóstico1,Radicular Diagnóstico2,Radicular Diagnóstico3,Radicular cupim tipo,Radicular visualização cupim,Radicular cupim Ataque,Radicular cupim Atividade,Rad Cupim Coleta,Radicular sanidade outros,Rad fungo tipo,Rad fungo int ataque,Colo Diagnóstico1,Colo Diagnóstico2,Colo Diagnóstico3,Colo Cupim tipo,Colo Cupim visualização,Colo Cupim Ataque,Colo Cupim Atividade,Colo Cupim Coleta,Colo sanidade outros,Colo fungo tipo,Colo fungo int ataque,Tronco Interferências1,Tronco Interferências2,Tronco Interferências3,Tronco Diagnóstico1,Tronco Diagnóstico2,Tronco Diagnóstico3,Tronco Cupim tipo,Tronco visualização Cupim,Tronco Cupim Ataque,Tronco Cupim Atividade,Tronco Cupim Coleta,Tronco fungo tipo,Tronco fungo int ataque,Tronco sanidade outros,Copa Interferências1,Copa Interferências2,Copa Interferências3,Copa Diagnóstico1,Copa Diagnóstico2,Copa Diagnóstico3,1a Ram Cupim tipo,1a Ram visualização Cupim,1a Ram Cupim Ataque,1a Ram Cupim Atividade,1a Ram Cupim Coleta,1a Ram fungo tipo,1a Ram fungo int ataque,1a Ram sanidade outros,UTMX,UTMY,Latitude,Longitude,caracteristicas_gerais
606,1/30/2014,Flávio Henrique Mendes,Bonde,,,Jambolão,Syzygium cumini,,,2018,15,3,,,TRUE,FALSE,15,0,0,0,0,"2,329999924","2,900000095",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE,0191,,0192,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,14,1,1,,,,,FALSE,,,,229543,7486340,-22.70857782,-47.63280613,"Árvore com cerca de 15m de altura. Copa com folhagem abundante, ramos de coloração acinzentada-claro, com fissuras escuras e cicatrízes foliares bastante aparentes. Folhas simples, opostas, lanceoladas ou lanceoladas-oblongas até elípticas, curtamente acuminadas, com a nervura central bastante saliente na face inferior e nervuras laterais numerosas, unidas em uma nervura marginal muito próxima do bordo da folha. Inflorescência com flores numerosas, pequenas, de coloração creme, hermafroditas. Frutos numerosos, ovóides, carnosos, negro-arroxeados, de 2 a 3 cm de comprimento, que possuem uma única semente."
5861,4/17/2014,Flávio Henrique Mendes,Gramadão Central,,,Cambuí,Myrcia laruotteana,,,5499,8,"1,850000024",,,TRUE,FALSE,"5,5",0,0,0,0,"0,3000000119","0,349999994",2,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Copa,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,NDA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,9468,,9469,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,16,1,1,1,1,1,,,,,FALSE,,,1,"229578,4975","7486198,759",-22.70985809,-47.63248524,"Arbusto ou arvorela de 3 a 6 m de altura. Tronco e ramos pubérulos e muito tortuosos, com casca lisa que descama em placas. Folhas simples, opostas, cartáceas, curto pecioladas, ovado-oblongas, bordos ondulados, com glândulas translúcidas no limbo, nervuras seríceo-pubescentes na face inferior, de até 7 cm de comprimento. Flores hermafroditas, numerosas, em inflorescências distribuídas ao longo dos ramos, estames brancos, numerosos, com função também de atração dos polinizadores. Fruto globoso,carnoso, de coloração avermelhada, com cerca de 4 mm de diâmetro."
3896,2/26/2014,Flávio Henrique Mendes,Gráfica/Xerox/Cantina,,,Cuietê,Crescentia cujete,29434,,1304,7,"0,3000000119",,,TRUE,FALSE,3,0,"0,6000000238","0,6000000238","1,230000019","0,8000000119","1,200000048",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3099,,3100,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,229723,7486346,-22.7085525,-47.63105428,"Árvore com até 16 m de altura. Tronco e galhos tortuosos, com casca de coloração acinzentada. Folhas simples, alternas, concentradas em grupos no ápice dos ramos, oblanceolado-cuneadas ou espatuladas, acuminadas, glabras ou ligeiramente pilosas nas nervuras da face inferior, com até 21 cm de comprimento. Imflorescência única ou com 2 flores reunidas ao longo dos ramos, tubulosas, grandes e muito vistosas, com pétalas amareladas. Fruto globoso, com até 25 cm de diâmetro, com epicarpo verde, flexível e, endocarpo lenhoso e resistente."
3897,2/26/2014,Flávio Henrique Mendes,Gráfica/Xerox/Cantina,,,Chapéu-de-sol,Terminalia cattapa,4292,,1306,"13,5",1,,,FALSE,TRUE,8,0,0,0,0,"2,710000038","3,200000048",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Área aberta,Junto a guia,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,,,FALSE,3093,,3094,,FALSE,1,1,1,28,3,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,4,1,1,,,,,FALSE,,,,229737,7486322,-22.70877132,-47.63092225,"Árvore de 10 a 35 m de altura, regularmente ramificada, com ramos pubescentes quando jovens, tornando-se glabros. Folhas simples, alternas, concentradas no ápice dos ramos, obovais, peninérveas, coriáceas, pubescentes na face inferior e com peciolo curto. Flores de coloração verde-esbranquiçada, reunidas em pequenas espigas terminais nos ramos, estames verdes e longos. Fruto drupa, geralmente com a forma elipsóide, bordos afinados amarelado ou róseo quando maduro, com cerca de 5cm de comprimento, possuindo caroço muito duro."
1355,2/26/2014,Flávio Henrique Mendes,Gráfica/Xerox/Cantina,,,Cola,Cola acuminata,4286,,1315,8,3,,,TRUE,FALSE,"7,5",0,0,0,0,"1,350000024","1,75",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Boa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,FALSE,3146,,3147,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,229685,7486283,-22.70911494,-47.63143477,"Árvore de 10 a 20 m de altura. Ramos de coloração verde escura, lisos, com cicatrizes foliares aparentes. Folhas alternadas, simples, obovadas, coriáceas, glabras, ápice agudo de 10 a 20 cm de comprimento; pecíolo de 1 a 6 cm de comprimento, liso, com pulvino bem desenvolvido. O ápice do pecíolo apresenta um engrossamento na inserção com lâmina foliar. Flores numerosas, reunidas em panículas, de coloração amarelada ou esbranquiçada. Fruto apocárpico folícular, de 10 a 16 cm de comprimento, encerrando cada um 6 a 12 sementes de coloração rósea ou branca. Nas sementes e que se encontram os princípios terapêuticos."
3894,2/24/2014,Flávio Henrique Mendes,Pau-brasil Alameda Principal,,,Magnólia-amarela,Magnolia champaca,,,1203,8,"0,5",,,TRUE,FALSE,4,0,0,0,0,"0,5899999738","1,200000048",2,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Caule,,Médio,FALSE,Leve,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Área aberta,Junto a guia,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Péssima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26,4,,FALSE,2450,,2451,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,2,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,229782,7486394,-22.70812878,-47.63047212,"Árvore de porte médio. Tronco ramificado desde a base, com casca lisa, de coloração acinzentada e com cicatrizes amareladas nos ramos novos. Folhas simples, elípticas, base aguda, ápice acuminado, glabras, coriáceas, margem levemente ondulada, de coloração verde brilhante na face superior e esbranquiçada na face inferior, com até 28 cm de comprimento. Flores amarelo-alaranjadas, com estames numerosos e muito perfumadas. Fruto com muitos carpídeos lenhosos, isolados, originário de ovário de folhas carpelares livres. Cada carpídeo possui uma ou duas sementes, que são liberadas através de sua abertura."
1300,2/24/2014,Flávio Henrique Mendes,Microscopia Eletrônica,,,Sabão-de-soldado,Sapindus saponaria,4181,,3444,18,9,,,TRUE,FALSE,6,0,0,0,0,"1,179999948","1,440000057",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,4042,,4043,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,229890,7486315,-22.70885898,-47.62943526,"Árvore de 4 a 9 m de altura. Ramos jovens com pilosidade curta, esbranquiçados, glabros quando velhos, castanho-estriados, com lenticelas. Folhas alternas compostas, imparipinadas, pecioladas; com 7 a 9 folíolos, curto peciolados, oblongo-lanceolados, ápice agudo, membranáceos, apresentando a face inferior mais pálida, com poucos pelos curtos e com nervuras proeminentes; face superior glabra, brilhante. Inflorescências em panículas terminais, com muitas flores curto-pediceladas, brancas e pequeas. Frutos com carpelos individualizados, formam um fruto multigloboso, amarelados quando maduros, com cerca de 2 cm de comprimento. Sementes globulosas não ariladas, pretas e duras."
1262,2/24/2014,Flávio Henrique Mendes,Botânica,,,Aroeira-pimenteira,Schinus terebinthifolius,4150,,1154,8,"0,6000000238",,,FALSE,TRUE,14,0,0,0,0,"1,600000024","1,679999948",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Médio,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,26,,,FALSE,2751,,2752,,FALSE,1,1,1,10,28,3,,,,,FALSE,,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,14,1,1,,,,,FALSE,,,,229849,7486308,-22.70891558,-47.62983526,"Árvore de 3 a 6 m de altura, podendo chegar até 15 m de altura. Tronco com casca de coloração acinzentada, lisa, com fissuras estreitas e longitudinais. Folhas compostas, imparipidadas, membranáceas, verde-escuras, pecíolo com pequena asa lateral; com 9 a 11 folíolos, sésseis, oblongo-elípticos, ápice agudo, base assimétrica, nervura central proeminente na face inferior, bordos serreados, com forte cheiro de manga. Flores com pétalas brancas ou amareladas, glabras, numerosas, reunidas em densas panículas terminais nos ramos. Fruto drupa, globosa, de parede lisa e quebradiça, coloração avermelhada, com uma só semente."
1804,3/28/2014,Flávio Henrique Mendes,Botânica Sumaumas,,,Eritrina4,Erythrina sp,,,3489,"4,5",0,,,TRUE,FALSE,4,0,0,0,0,"0,7099999785","0,7599999905",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE,,,,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,14,15,1,,,,,FALSE,,,,229827,7486274,-22.70921889,-47.63005512,"Árvore de 10 a 17 m de altura. Tronco retilíneo, revestido por casca grossa, com fissuras longitudinais, ramos aculeados, com áculeos tringulares, compressos. Folhas compostas, trifoliadas, sustentadas por pecíolo de 4 a 10 cm de comprimento; folíolo central quase orbicular, os laterais elitícos-oblongos, glabros, coriáceos, 7 a 10 cm de comprimento por 5 a 8 cm de largura. Inflorescências numerosas, em cacho, muito atraentes, com flores alaranjadas até avermelhadas, abundantes. Fruto tipo legumes, achatado, com sementes de coloração acastanhada, presas a parede do fruto."
