Código,Dia,Responsável,Localização área,Número,Sem placa,Nome,Gênero,placa antiga,espécie,n arvore,Altura Geral,Altura da 1a ramificação,Observacao,Largura calçada,Ramificacao U,Ramificacao V,Diâmetro copa,PAP5,PAP4,PAP3,PAP2,PAP,PCOLO,Inclinação (sentido),Canteiro Tipo,Canteiro Largura,Canterio comprimento,Canteiro Diâmetro,Canterio Vege Interferente,Canteiro Protetor tutor,Ângulo de inclinação,Est geral ótimo,Est geral bom,Est geral regular,Est geral péssimo,Est geral morta,Equil geral Desequilibrada,Onde desequilibra?,Qual sentido desequilibra?,Risco de queda,Corpo de frutificação,Intensidade,Vandalismo,Ecologia Insetos,Ecologia Ninhos,Ecologia Liquens,Ecologia Epífitas,Ecologia Parasitas,Fenologia Folha,Fenologia Flor,Fenologia Fruto,Local geral,Local relativo,Tipo de pavimento,Proximidade de equipamentos,Aflor de raízes Calçada,Aflor de raízes Canteiro,Aflor de raízes Construção,Aflor de raízes Leito carroçável,Aflor de raízes Passagem,int_leve,int_pesado,Particip na paisagem é Isolada,Particip na paisagem é Homogênea,Tipo de fiação Derivação,Tipo de fiação Primária,Tipo de fiação Secundária,Tipo de fiação Telefônia,Tipo de fiação Outra,Tipo de fiação todas,Colo pavimentado?,Manilha no canteiro?,Planta no canteiro?,Contato Fiação,Contato Posteamento,Contato Iluminação,Contato Sinalização,Contato Muro Construção,Contato Outro,Dano,Exec Reparos de danos,Exec Controle,Exec Substituição,Exec Ampliação de canteiro,Exec Poda,Qualidade da Ação,Recomend Poda corretiva,Recomend Poda condução,Recomend Poda levantamento,Recomend Poda limpeza,Recomend Reparos de danos,Recomend Ampliação de canteiro,Outra recomendação1,Outra recomendação2,Outra recomendação3,Baixa das recomendações,Fotografia Geral1,Fotografia Geral2,Fotografia Detalhe1,Fotografia Detalhe2,Ficha do recadastro,Radicular Interferências1,Radicular Interferências2,Radicular Interferências3,Radicular Diagnóstico1,Radicular Diagnóstico2,Radicular Diagnóstico3,Radicular cupim tipo,Radicular visualização cupim,Radicular cupim Ataque,Radicular cupim Atividade,Rad Cupim Coleta,Radicular sanidade outros,Rad fungo tipo,Rad fungo int ataque,Colo Diagnóstico1,Colo Diagnóstico2,Colo Diagnóstico3,Colo Cupim tipo,Colo Cupim visualização,Colo Cupim Ataque,Colo Cupim Atividade,Colo Cupim Coleta,Colo sanidade outros,Colo fungo tipo,Colo fungo int ataque,Tronco Interferências1,Tronco Interferências2,Tronco Interferências3,Tronco Diagnóstico1,Tronco Diagnóstico2,Tronco Diagnóstico3,Tronco Cupim tipo,Tronco visualização Cupim,Tronco Cupim Ataque,Tronco Cupim Atividade,Tronco Cupim Coleta,Tronco fungo tipo,Tronco fungo int ataque,Tronco sanidade outros,Copa Interferências1,Copa Interferências2,Copa Interferências3,Copa Diagnóstico1,Copa Diagnóstico2,Copa Diagnóstico3,1a Ram Cupim tipo,1a Ram visualização Cupim,1a Ram Cupim Ataque,1a Ram Cupim Atividade,1a Ram Cupim Coleta,1a Ram fungo tipo,1a Ram fungo int ataque,1a Ram sanidade outros,UTMX,UTMY,Latitude,Longitude,link_localizacao,link_foto_geral,link_foto_detalhe,link_qrcode
3481,3/31/2014,Demóstenes Ferreira da Silva Filho,Gramadão Central,,,Pinheiro do paraná,Araucaria angustifolia,,,725,"10,5",0,,,FALSE,FALSE,4,0,0,0,0,"1,200000048","1,299999952",,,,,,FALSE,,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Médio,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,Junto a guia,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9607,,9608,,FALSE,1,1,1,4,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,8,1,1,,,,,FALSE,,,,229606,7486232,-22.70956252,-47.63221199,"https://www.google.com/maps?q=-22.70956252,-47.63221199",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09607.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09608.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=725
4929,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Não identificado,Não identificado,,,702,10,"2,099999905",,,TRUE,FALSE,5,0,0,0,0,"1,440000057","1,929999948",,,,,,FALSE,,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Médio,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Área aberta,Junto a guia,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,26,,FALSE,9609,,9610,,FALSE,1,1,1,28,4,1,,,,,FALSE,,,,13,1,1,,,,,FALSE,,,,1,1,,12,13,1,,,,,FALSE,,,,16,1,1,14,15,1,,,,,FALSE,,,,229602,7486232,-22.70956188,-47.6322509,"https://www.google.com/maps?q=-22.70956188,-47.6322509",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09609.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09610.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=702
4928,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Pata-de-vaca,Bauhinia variegata,,,701,"6,5",2,,,TRUE,FALSE,5,0,0,0,0,"0,7900000215","0,9900000095",4,,,,,FALSE,,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Copa,,Médio,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Área aberta,Junto a divisa,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26,,,FALSE,9613,,9614,,FALSE,1,1,1,4,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,16,1,1,14,15,1,,,,,FALSE,,,,229597,7486233,-22.70955206,-47.63229936,"https://www.google.com/maps?q=-22.70955206,-47.63229936",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09613.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09614.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=701
5311,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Arariba rosa,Centrolobium tomentosum,,,5488,"6,5",4,,,TRUE,FALSE,2,0,0,0,0,"0,2899999917","0,349999994",,,,,,FALSE,,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Médio,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,Junto a divisa,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9631,,9632,,FALSE,1,1,1,4,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,16,17,1,14,1,1,,,,,FALSE,,,,229592,7486232,-22.70956028,-47.63234817,"https://www.google.com/maps?q=-22.70956028,-47.63234817",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09631.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09632.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=5488
4930,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Cedro rosa,Cedrela fissilis,,,703,20,"2,799999952",,,TRUE,FALSE,"7,5",0,0,0,0,"1,899999976","2,099999905",,,,,,FALSE,,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Médio,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Área aberta,Junto a divisa,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,,,FALSE,9615,,9616,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,16,1,1,14,1,1,,,,,FALSE,,,,229585,7486231,-22.70956818,-47.63241643,"https://www.google.com/maps?q=-22.70956818,-47.63241643",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09615.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09616.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=703
4927,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Arariba rosa,Centrolobium tomentosum,,,699,8,"4,5",,,TRUE,FALSE,"4,5",0,0,0,0,"0,7200000286","0,8199999928",2,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Caule e Copa,,Médio,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Área aberta,Junto a divisa,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9633,,9634,,FALSE,1,1,1,4,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,1,,,15,1,,1,1,1,,,,,FALSE,,,1,16,17,1,2,1,1,,,,,FALSE,,,,229580,7486228,-22.70959445,-47.63246558,"https://www.google.com/maps?q=-22.70959445,-47.63246558",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09633.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09634.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=699
5310,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Morta,Morta,,,5487,9,"3,5",,,FALSE,FALSE,3,0,0,0,0,"0,4099999964","0,5",2,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Caule e Copa,,Alto,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Área aberta,NDA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,,,FALSE,9635,,9636,,FALSE,1,1,1,1,1,29,,,,,FALSE,,,,42,1,1,,,,,FALSE,,,,1,1,,42,1,1,,,,,FALSE,,,,1,1,1,14,1,1,,,,,FALSE,,,,229582,7486225,-22.70962185,-47.63244664,"https://www.google.com/maps?q=-22.70962185,-47.63244664",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09635.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09636.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=5487
4916,4/14/2014,Flávio Henrique Mendes,Gramadão Central,,,Pau jacaré,Piptadenia gonoacantha,,,684,3,0,,,FALSE,FALSE,"3,25",0,0,0,0,"0,3899999857","0,4600000083",2,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Caule e Copa,,Alto,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Área aberta,NDA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,,,FALSE,9637,,9638,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,42,1,1,,,,,FALSE,,,,1,1,,42,1,1,,,,,FALSE,,,,16,17,1,7,2,1,,,,,FALSE,,,,229577,7486225,-22.70962105,-47.63249528,"https://www.google.com/maps?q=-22.70962105,-47.63249528",http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09637.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/fotos/F3/DSC09638.JPG,http://silvaurba.esalq.usp.br/cadgeoesalq/arvore.php?narvore=684
